Site,Site Name,Energy Consumption (kWh),Date
CCC0501,Caliber 0501,2836.92,8/28/2020
CCC0501,Caliber 0501,2503.41,8/29/2020
CCC0501,Caliber 0501,2043.83,8/30/2020
CCC0501,Caliber 0501,2811.93,8/31/2020
CCC0501,Caliber 0501,2605.99,9/1/2020
CCC0501,Caliber 0501,2156.89,9/2/2020
CCC0501,Caliber 0501,1990.6,9/3/2020
CCC0501,Caliber 0501,2411.29,9/4/2020
CCC0501,Caliber 0501,1869.94,9/5/2020
CCC0501,Caliber 0501,1789.9,9/6/2020
CCC0501,Caliber 0501,2339.09,9/7/2020
CCC0501,Caliber 0501,2598.68,9/8/2020
CCC0501,Caliber 0501,2126.48,9/9/2020
CCC0501,Caliber 0501,1587.87,9/10/2020
CCC0501,Caliber 0501,1658.44,9/11/2020
CCC0501,Caliber 0501,1026.13,9/12/2020
CCC0501,Caliber 0501,298.99,9/13/2020
CCC0501,Caliber 0501,1768.66,9/14/2020
CCC0501,Caliber 0501,2251.67,9/15/2020
CCC0501,Caliber 0501,2255.71,9/16/2020
CCC0501,Caliber 0501,2301.28,9/17/2020
CCC0501,Caliber 0501,2165.06,9/18/2020
CCC0501,Caliber 0501,1057.26,9/19/2020
CCC0501,Caliber 0501,979.02,9/20/2020
CCC0501,Caliber 0501,1671.91,9/21/2020
CCC0501,Caliber 0501,1278.72,9/22/2020
CCC0501,Caliber 0501,1350.39,9/23/2020
CCC0501,Caliber 0501,1392.18,9/24/2020
CCC0501,Caliber 0501,1792.68,9/25/2020
CCC0501,Caliber 0501,849.47,9/26/2020
CCC0501,Caliber 0501,1095.14,9/27/2020
CCC0501,Caliber 0501,1781.93,9/28/2020
CCC0501,Caliber 0501,1915.41,9/29/2020
CCC0501,Caliber 0501,1885.06,9/30/2020
CCC0501,Caliber 0501,1923.31,10/1/2020
CCC0501,Caliber 0501,1907.99,10/2/2020
CCC0501,Caliber 0501,1336.28,10/3/2020
CCC0501,Caliber 0501,1302.97,10/4/2020
CCC0501,Caliber 0501,1742.31,10/5/2020
CCC0501,Caliber 0501,1855.08,10/6/2020
CCC0501,Caliber 0501,2032.26,10/7/2020
CCC0501,Caliber 0501,1685.23,10/8/2020
CCC0501,Caliber 0501,1601.95,10/9/2020
CCC0501,Caliber 0501,1082.96,10/10/2020
CCC0501,Caliber 0501,1387.35,10/11/2020
CCC0501,Caliber 0501,1702.19,10/12/2020
CCC0501,Caliber 0501,1652.09,10/13/2020
CCC0501,Caliber 0501,1982.91,10/14/2020
CCC0501,Caliber 0501,1874.86,10/15/2020
CCC0501,Caliber 0501,1580.26,10/16/2020
CCC0501,Caliber 0501,968.36,10/17/2020
CCC0501,Caliber 0501,946.28,10/18/2020
CCC0501,Caliber 0501,1425.93,10/19/2020
CCC0501,Caliber 0501,1820.1,10/20/2020
CCC0501,Caliber 0501,1806.04,10/21/2020
CCC0501,Caliber 0501,1912.54,10/22/2020
CCC0501,Caliber 0501,1761.21,10/23/2020
CCC0501,Caliber 0501,705.59,10/24/2020
CCC0501,Caliber 0501,172.62,10/25/2020
CCC0501,Caliber 0501,1195.01,10/26/2020
CCC0501,Caliber 0501,1670.56,10/27/2020
CCC0501,Caliber 0501,1631.81,10/28/2020
CCC0501,Caliber 0501,1515.37,10/29/2020
CCC0501,Caliber 0501,1586.44,10/30/2020
CCC0501,Caliber 0501,680.59,10/31/2020
CCC0501,Caliber 0501,303.5,11/1/2020
CCC0501,Caliber 0501,1658.32,11/2/2020
CCC0501,Caliber 0501,1785.01,11/3/2020
CCC0501,Caliber 0501,1572.38,11/4/2020
CCC0501,Caliber 0501,1425.08,11/5/2020
CCC0501,Caliber 0501,1380.89,11/6/2020
CCC0501,Caliber 0501,1263.27,11/7/2020
CCC0501,Caliber 0501,1245.2,11/8/2020
CCC0501,Caliber 0501,1470.68,11/9/2020
CCC0501,Caliber 0501,1309.85,11/10/2020
CCC0501,Caliber 0501,1332.09,11/11/2020
CCC0501,Caliber 0501,1334.59,11/12/2020
CCC0501,Caliber 0501,1541.79,11/13/2020
CCC0501,Caliber 0501,607.88,11/14/2020
CCC0501,Caliber 0501,432.2,11/15/2020
CCC0501,Caliber 0501,1382.41,11/16/2020
CCC0501,Caliber 0501,1801.37,11/17/2020
CCC0501,Caliber 0501,1807.52,11/18/2020
CCC0501,Caliber 0501,1821.22,11/19/2020
CCC0501,Caliber 0501,444.36,11/20/2020
CCC0511,Caliber 0511,2392.02,11/1/2019
CCC0511,Caliber 0511,2184.56,11/2/2019
CCC0511,Caliber 0511,1739.37,11/3/2019
CCC0511,Caliber 0511,2425.57,11/4/2019
CCC0511,Caliber 0511,2439.43,11/5/2019
CCC0511,Caliber 0511,2622.31,11/6/2019
CCC0511,Caliber 0511,2697.51,11/7/2019
